tripadvisor_name,amadeus_name,tripadvisor_url,amadeus_code
Aloft Harlem,Aloft Harlem,/Hotel_Review-g60763-d1878946-Reviews-Aloft_Harlem-New_York_City_New_York.html,ALNYC353
Orchard Street Hotel,Orchard Street Hotel,/Hotel_Review-g60763-d7939016-Reviews-Orchard_Street_Hotel-New_York_City_New_York.html,WVNYC109
Hudson River Hotel,Hudson River Hotel,/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York.html,GDNYCHRH
The Franklin,The Franklin Hotel,/Hotel_Review-g60763-d93575-Reviews-The_Franklin-New_York_City_New_York.html,XTNYCFRA
Best Western Bowery Hanbee Hotel,Best Western Bowery Hanbee Htl,/Hotel_Review-g60763-d1060157-Reviews-Best_Western_Bowery_Hanbee_Hotel-New_York_City_New_York.html,BWNYC133
Holiday Inn Express New York City-Wall Street,Holiday Inn Exp Nyc Wall St,/Hotel_Review-g60763-d1465008-Reviews-Holiday_Inn_Express_New_York_City_Wall_Street-New_York_City_New_York.html,HINYC9C1
The Gatsby Hotel,"Gatsby Hotel, An Ascend Hotel Collection",/Hotel_Review-g60763-d247814-Reviews-The_Gatsby_Hotel-New_York_City_New_York.html,NZNYC425
Courtyard New York Downtown Manhattan / World Trade Center Area,Courtyard Wtc Area Marriott,/Hotel_Review-g60763-d9761545-Reviews-Courtyard_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_York.html,CYNYCXMC
Dylan Hotel NYC,Dylan Hotel,/Hotel_Review-g60763-d217622-Reviews-Dylan_Hotel_NYC-New_York_City_New_York.html,PWNYCDYL
Eurostars Wall Street,Eurostars Wall Street,/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York.html,LEJFK129
The Frederick Hotel,Cosmopolitan Now The Frederick,/Hotel_Review-g60763-d93351-Reviews-The_Frederick_Hotel-New_York_City_New_York.html,BTNYC7A3
Aloft Manhattan Downtown Financial District,Aloft Manhattan Downtown Financial Dist,/Hotel_Review-g60763-d7605857-Reviews-Aloft_Manhattan_Downtown_Financial_District-New_York_City_New_York.html,ALNYC647
Millennium Hilton New York Downtown,Millennium Hilton New York Downtown,/Hotel_Review-g60763-d262330-Reviews-Millennium_Hilton_New_York_Downtown-New_York_City_New_York.html,HHNYC402
Hampton Inn Manhattan-Seaport-Financial District,Hampton Inn Manhattan Seaport,/Hotel_Review-g60763-d277882-Reviews-Hampton_Inn_Manhattan_Seaport_Financial_District-New_York_City_New_York.html,HXNYC320
Residence Inn New York Downtown Manhattan/World Trade Center Area,Residence Inn Downtwn Marriott,/Hotel_Review-g60763-d7182804-Reviews-Residence_Inn_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_Yor.html,RCNYCRLR
Hotel Mulberry,Hotel Mulberry,/Hotel_Review-g60763-d1791248-Reviews-Hotel_Mulberry-New_York_City_New_York.html,YXNYC633
Four Points by Sheraton New York Downtown,Four Points New York Downtown,/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York.html,SINYC642
World Center Hotel,World Center Hotel,/Hotel_Review-g60763-d1553789-Reviews-World_Center_Hotel-New_York_City_New_York.html,YXNYCWCH
Fairfield Inn New York Manhattan/Financial District,Fairfield Inn Financl Marriott,/Hotel_Review-g60763-d6877735-Reviews-Fairfield_Inn_New_York_Manhattan_Financial_District-New_York_City_New_York.html,FNNYCLMF
Sheraton Tribeca New York Hotel,Sheraton Tribeca New York Htl,/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York.html,SINYC052
NOMO SOHO Hotel,Nomo Soho Lifestyle,/Hotel_Review-g60763-d1786395-Reviews-NOMO_SOHO_Hotel-New_York_City_New_York.html,PHNYCNMS
Soho Grand Hotel,Soho Grand Hotel,/Hotel_Review-g60763-d93561-Reviews-Soho_Grand_Hotel-New_York_City_New_York.html,GGNYCSGH
The James New York - SoHo,The James New York Soho,/Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html,NYNYCTJA
Sohotel,The Sohotel,/Hotel_Review-g60763-d292140-Reviews-Sohotel-New_York_City_New_York.html,YXNYCH06
Arlo SoHo,Arlo Soho,/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York.html,CKNYCTHS
Hampton Inn Manhattan / Downtown - Financial District,Hampton Inn Manhattan-downtown-financial,/Hotel_Review-g60763-d3580899-Reviews-Hampton_Inn_Manhattan_Downtown_Financial_District-New_York_City_New_York.html,HXNYC432
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Hilton Grdn Inn Financial Ctr Manhattan,/Hotel_Review-g60763-d12297961-Reviews-Hilton_Garden_Inn_NYC_Financial_Center_Manhattan_Downtown-New_York_City_New_York.html,GINYC774
"The Ritz-Carlton New York, Battery Park",The Ritz-carlton Battery Park,/Hotel_Review-g60763-d222959-Reviews-The_Ritz_Carlton_New_York_Battery_Park-New_York_City_New_York.html,RZNYCRDZ
Doubletree Hotel Metropolitan - New York City,Dbltree Metropolitan Nyc,/Hotel_Review-g60763-d93466-Reviews-Doubletree_Hotel_Metropolitan_New_York_City-New_York_City_New_York.html,DTNYC601
Grand Hyatt New York,Grand Hyatt New York,/Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html,HYNYCHNY
Wellington Hotel,Wellington Hotel,/Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html,YXNYCWEL
NYLO New York City,Nylo New York City,/Hotel_Review-g60763-d99288-Reviews-NYLO_New_York_City-New_York_City_New_York.html,XTNYC178
The New Yorker A Wyndham Hotel,The New Yorker A Wyndham Hotel,/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_A_Wyndham_Hotel-New_York_City_New_York.html,WYNYC542
Pod 51 Hotel,Pod 51 Hotel,/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,OKNYCP51
Hilton Garden Inn Times Square,Hilton Garden Inn Times Square,/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,GINYC790
New York Hilton Midtown,New York Hilton Midtown,/Hotel_Review-g60763-d611947-Reviews-New_York_Hilton_Midtown-New_York_City_New_York.html,HHNYC507
Hotel Beacon,Hotel Beacon,/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,YXNYC222
Hilton New York Grand Central,Hilton New York Grand Central,/Hotel_Review-g60763-d93339-Reviews-Hilton_New_York_Grand_Central-New_York_City_New_York.html,HHNYC986
The Time New York,The Time New York,/Hotel_Review-g60763-d112062-Reviews-The_Time_New_York-New_York_City_New_York.html,DZNYCTHN
The London NYC,The London Nyc,/Hotel_Review-g60763-d630409-Reviews-The_London_NYC-New_York_City_New_York.html,CNNYC151
Dream Downtown,Dream Downtown,/Hotel_Review-g60763-d2173604-Reviews-Dream_Downtown-New_York_City_New_York.html,DZNYCDDT
Millennium Hilton New York One UN Plaza,Millennium Hilton New York One Un Plaza,/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York.html,HHNYCHUN
JW Marriott Essex House New York,Jw Marriott Essex House,/Hotel_Review-g60763-d455186-Reviews-JW_Marriott_Essex_House_New_York-New_York_City_New_York.html,MCNYCEXM
The Jewel facing Rockefeller Center,The Jewel Hotel,/Hotel_Review-g60763-d1913413-Reviews-The_Jewel_facing_Rockefeller_Center-New_York_City_New_York.html,YXNYCJNY
Hotel Mela,Hotel Mela,/Hotel_Review-g60763-d612263-Reviews-Hotel_Mela-New_York_City_New_York.html,XTNYC088
Distrikt Hotel New York City,Distrikt Hotel Nyc - Times Squ,/Hotel_Review-g60763-d1503474-Reviews-Distrikt_Hotel_New_York_City-New_York_City_New_York.html,PWNYC424
La Quinta Inn & Suites Brooklyn East,La Quinta Inn Ste Brooklyn East,/Hotel_Review-g60827-d8595091-Reviews-La_Quinta_Inn_Suites_Brooklyn_East-Brooklyn_New_York.html,LQNYC571
Comfort Inn Staten Island,Comfort Inn Staten Island,/Hotel_Review-g48682-d1204391-Reviews-Comfort_Inn_Staten_Island-Staten_Island_New_York.html,CIEWR470
Best Western JFK Airport Hotel,Best Western Jfk Airport Hotel,/Hotel_Review-g47962-d268513-Reviews-Best_Western_JFK_Airport_Hotel-Jamaica_Queens_New_York.html,BWJFK119
Marco LaGuardia Hotel by Lexington,Marco Laguardia Lexington,/Hotel_Review-g47729-d601474-Reviews-Marco_LaGuardia_Hotel_by_Lexington-Flushing_Queens_New_York.html,YXLGA432
The William Vale,The William Vale,/Hotel_Review-g60827-d8738248-Reviews-The_William_Vale-Brooklyn_New_York.html,YXNYCWVH
LaGuardia Plaza Hotel - New York,Laguardia Plaza Hotel,/Hotel_Review-g47626-d93644-Reviews-LaGuardia_Plaza_Hotel_New_York-East_Elmhurst_Queens_New_York.html,WWLGAE65
Days Inn Brooklyn Borough Park,Days Inn Marine Park,/Hotel_Review-g60827-d12579252-Reviews-Days_Inn_Brooklyn_Borough_Park-Brooklyn_New_York.html,DINYC986
Hilton Brooklyn New York,Hilton Brooklyn New York,/Hotel_Review-g60827-d10184216-Reviews-Hilton_Brooklyn_New_York-Brooklyn_New_York.html,HHNYC554
Crowne Plaza JFK Airport New York City,Crowne Plaza Jfk Airport Nyc,/Hotel_Review-g47962-d4786615-Reviews-Crowne_Plaza_JFK_Airport_New_York_City-Jamaica_Queens_New_York.html,CPNYC58E
Best Western Queens Court Hotel,Bw Queens Court Hotel,/Hotel_Review-g47729-d249780-Reviews-Best_Western_Queens_Court_Hotel-Flushing_Queens_New_York.html,BWNYC111
1 Hotel Brooklyn Bridge,1 Hotel Brooklyn Bridge,/Hotel_Review-g60827-d10421761-Reviews-1_Hotel_Brooklyn_Bridge-Brooklyn_New_York.html,BINYCHBB
Hilton Garden Inn Long Island City Queensboro Bridge,Hltn Grdn Inn Long Island City,/Hotel_Review-g48080-d7202189-Reviews-Hilton_Garden_Inn_Long_Island_City_Queensboro_Bridge-Long_Island_City_Queens_New_York.html,GIISP963
Comfort Inn,Comfort Inn Long Island City,/Hotel_Review-g48080-d281640-Reviews-Comfort_Inn-Long_Island_City_Queens_New_York.html,CILGA265
La Quinta Inn & Suites Brooklyn Central,La Quinta Inn Ste Brooklyn Central,/Hotel_Review-g60827-d12064061-Reviews-La_Quinta_Inn_Suites_Brooklyn_Central-Brooklyn_New_York.html,LQNYC570
Days inn Brooklyn Crown Heights,Days Inn Brooklyn Crown Height,/Hotel_Review-g60827-d12280686-Reviews-Days_inn_Brooklyn_Crown_Heights-Brooklyn_New_York.html,DIJFK196
Aloft Long Island City - Manhattan View,Aloft Long Island City,/Hotel_Review-g48080-d11642010-Reviews-Aloft_Long_Island_City_Manhattan_View-Long_Island_City_Queens_New_York.html,ALNYC940
Hotel de Point,Hotel De Point,/Hotel_Review-g47729-d2725750-Reviews-Hotel_de_Point-Flushing_Queens_New_York.html,SCNYC565
Howard Johnson Long Island City,Howard Johnson Long Island Cit,/Hotel_Review-g48080-d7106532-Reviews-Howard_Johnson_Long_Island_City-Long_Island_City_Queens_New_York.html,HJLGA294
New York Marriott at the Brooklyn Bridge,Marriott At Brooklyn Bridge,/Hotel_Review-g60827-d99466-Reviews-New_York_Marriott_at_the_Brooklyn_Bridge-Brooklyn_New_York.html,MCLGABKM
New York LaGuardia Airport Marriott,Laguardia Airport Marriott,/Hotel_Review-g47626-d93649-Reviews-New_York_LaGuardia_Airport_Marriott-East_Elmhurst_Queens_New_York.html,MCLGAAPM
Boro Hotel,The Boro Hotel,/Hotel_Review-g48080-d7792565-Reviews-Boro_Hotel-Long_Island_City_Queens_New_York.html,WVLGA177
Residence Inn By Marriott New York The Bronx at Metro Center Atrium,Residence Inn Bronx Marriott,/Hotel_Review-g47369-d7356250-Reviews-Residence_Inn_By_Marriott_New_York_The_Bronx_at_Metro_Center_Atrium-Bronx_New_York.html,RCNYCBXR
Holiday Inn New York JFK Airport Area,Holiday Inn Jfk Airport Area,/Hotel_Review-g47962-d4556188-Reviews-Holiday_Inn_New_York_JFK_Airport_Area-Jamaica_Queens_New_York.html,HINYCEED
The Paper Factory Hotel,Paper Factory Hotel,/Hotel_Review-g48080-d5523553-Reviews-The_Paper_Factory_Hotel-Long_Island_City_Queens_New_York.html,WVLGA097
Hampton Inn & Suites Staten Island,Hampton Inn Ste Staten Island,/Hotel_Review-g48682-d674311-Reviews-Hampton_Inn_Suites_Staten_Island-Staten_Island_New_York.html,HXEWR112
Holiday Inn Express Queens - Maspeth,Holiday Inn Express Maspeth,/Hotel_Review-g48127-d675089-Reviews-Holiday_Inn_Express_Queens_Maspeth-Maspeth_Queens_New_York.html,HIJFK816
Best Western Plus La Guardia Airport Hotel Queens,Best Western Plus Laguardia Airport,/Hotel_Review-g47542-d8449731-Reviews-Best_Western_Plus_La_Guardia_Airport_Hotel_Queens-Corona_Queens_New_York.html,BWNYC160
Galaxy Motel,Galaxy Motel,/Hotel_Review-g60827-d548331-Reviews-Galaxy_Motel-Brooklyn_New_York.html,YXNYC020
EVEN Hotel Brooklyn,Even Hotel Brooklyn,/Hotel_Review-g60827-d10134568-Reviews-EVEN_Hotel_Brooklyn-Brooklyn_New_York.html,VNNYCF62
Holiday Inn Express Staten Island West,Holiday Inn Exp Staten Islnd W,/Hotel_Review-g48682-d1212524-Reviews-Holiday_Inn_Express_Staten_Island_West-Staten_Island_New_York.html,HINYCC4E
Sleep Inn JFK Airport Rockaway Blvd,Sleep Inn Jfk Airport Rockaway Blvd,/Hotel_Review-g47962-d3225269-Reviews-Sleep_Inn_JFK_Airport_Rockaway_Blvd-Jamaica_Queens_New_York.html,SZJFK394
Extended Stay America - New York City - Laguardia Airport,Extended Stay America Lga Air,/Hotel_Review-g48887-d277897-Reviews-Extended_Stay_America_New_York_City_Laguardia_Airport-Whitestone_Queens_New_York.html,EALGA651
Fairfield Inn New York JFK Airport,Fairfield Inn Ny Jfk Marriott,/Hotel_Review-g47962-d238137-Reviews-Fairfield_Inn_New_York_JFK_Airport-Jamaica_Queens_New_York.html,FNJFKJJF
Four Points by Sheraton Long Island City Queensboro Bridge,Four Points Long Island City,/Hotel_Review-g48080-d1879003-Reviews-Four_Points_by_Sheraton_Long_Island_City_Queensboro_Bridge-Long_Island_City_Queens_New_.html,SINYC540
Holiday Inn Brooklyn Downtown,Holiday Inn Brooklyn Downtown,/Hotel_Review-g60827-d7789170-Reviews-Holiday_Inn_Brooklyn_Downtown-Brooklyn_New_York.html,HINYCB36
Howard Johnson Express Inn Bronx,Howard Johnson Express Inn Bro,/Hotel_Review-g47369-d286866-Reviews-Howard_Johnson_Express_Inn_Bronx-Bronx_New_York.html,HJLGA826
NU Hotel,Nu Hotel Brooklyn,/Hotel_Review-g60827-d1103707-Reviews-NU_Hotel-Brooklyn_New_York.html,XTNYC335
The Parc Hotel,The Parc Hotel,/Hotel_Review-g47729-d5544308-Reviews-The_Parc_Hotel-Flushing_Queens_New_York.html,YXNYCTPH
Ravel Hotel,Ravel Hotel,/Hotel_Review-g48080-d1026626-Reviews-Ravel_Hotel-Long_Island_City_Queens_New_York.html,YXLGA796
Hyatt Place Long Island City / New York City,Hyatt Place Long Island-new York City,/Hotel_Review-g48080-d12596548-Reviews-Hyatt_Place_Long_Island_City_New_York_City-Long_Island_City_Queens_New_York.html,HYLGAZL2
The One Boutique Hotel,The One Boutique Hotel,/Hotel_Review-g47729-d6548502-Reviews-The_One_Boutique_Hotel-Flushing_Queens_New_York.html,YXNYCTOB
Hotel RL by Red Lion Brooklyn,Hotel Rl By Red Lion Brooklyn,/Hotel_Review-g60827-d11726197-Reviews-Hotel_RL_by_Red_Lion_Brooklyn-Brooklyn_New_York.html,RLJFK964
Hampton Inn NY - JFK,Hampton Inn New York-jfk Arpt,/Hotel_Review-g47962-d224601-Reviews-Hampton_Inn_NY_JFK-Jamaica_Queens_New_York.html,HXNYC144
Best Western Plus Arena Hotel,Best Western Plus Arena Hotel,/Hotel_Review-g60827-d1762669-Reviews-Best_Western_Plus_Arena_Hotel-Brooklyn_New_York.html,BWJFK142
Hotel Le Jolie,Hotel Le Jolie,/Hotel_Review-g60827-d1007626-Reviews-Hotel_Le_Jolie-Brooklyn_New_York.html,WVLGAHLJ
Quality Inn Long Island City,Quality Inn Long Island City,/Hotel_Review-g48080-d671388-Reviews-Quality_Inn_Long_Island_City-Long_Island_City_Queens_New_York.html,QILGA400
Gowanus Inn and Yard,"Gowanus Inn And Yard, An Ascend Hotel Co",/Hotel_Review-g60827-d12221584-Reviews-Gowanus_Inn_and_Yard-Brooklyn_New_York.html,NZNYC569
Ramada Long Island City,Ramada Long Island City,/Hotel_Review-g48080-d1484593-Reviews-Ramada_Long_Island_City-Long_Island_City_Queens_New_York.html,RALGA433
Fairfield Inn New York Long Island City / Manhattan View,Fairfield Inn Li City Marriott,/Hotel_Review-g48080-d1027681-Reviews-Fairfield_Inn_New_York_Long_Island_City_Manhattan_View-Long_Island_City_Queens_New_York.html,FNNYCFQF
Ramada Staten Island,Ramada Staten Island,/Hotel_Review-g48682-d1819763-Reviews-Ramada_Staten_Island-Staten_Island_New_York.html,RANYC951
City View Inn,City View Inn,/Hotel_Review-g48080-d75617-Reviews-City_View_Inn-Long_Island_City_Queens_New_York.html,OKLGA069
Sleep Inn Brooklyn,Sleep Inn Brooklyn,/Hotel_Review-g60827-d1235523-Reviews-Sleep_Inn_Brooklyn-Brooklyn_New_York.html,SZLGA484
Best Western Jamaica Inn,Best Western Jamaica Inn,/Hotel_Review-g47962-d294811-Reviews-Best_Western_Jamaica_Inn-Jamaica_Queens_New_York.html,BWJFK141
Hilton Garden Inn New York/Staten Island,Hilton Garden Inn Staten Island,/Hotel_Review-g48682-d224599-Reviews-Hilton_Garden_Inn_New_York_Staten_Island-Staten_Island_New_York.html,GIEWR198
McCarren Hotel & Pool,Mccarren Hotel And Pool,/Hotel_Review-g60827-d2151848-Reviews-McCarren_Hotel_Pool-Brooklyn_New_York.html,YXNYCWIL
Rodeway Inn Bronx Zoo,Rodeway Inn Bronx Zoo,/Hotel_Review-g47369-d4447795-Reviews-Rodeway_Inn_Bronx_Zoo-Bronx_New_York.html,RYLGA324
Comfort Inn & Suites near Stadium,Comfort Inn And Suites Near Stadium,/Hotel_Review-g47369-d12441510-Reviews-Comfort_Inn_Suites_near_Stadium-Bronx_New_York.html,CINYC529
Ramada Bronx,Ramada Inn Bronx,/Hotel_Review-g47369-d99257-Reviews-Ramada_Bronx-Bronx_New_York.html,RANYC038
Quality Inn,Quality Inn,/Hotel_Review-g60827-d7772856-Reviews-Quality_Inn-Brooklyn_New_York.html,QINYC634
"The LOOK hotel, Red Hook, an Ascend Hotel Collection Member",The Look Hotel Red Hook An Ascend Hotel,/Hotel_Review-g60827-d2309186-Reviews-The_LOOK_hotel_Red_Hook_an_Ascend_Hotel_Collection_Member-Brooklyn_New_York.html,NZLGA507
Opera House Hotel,Opera House Hotel,/Hotel_Review-g47369-d4702280-Reviews-Opera_House_Hotel-Bronx_New_York.html,YXLGA107
La Quinta Inn & Suites Brooklyn Downtown,La Quinta Inn Ste Brooklyn Downtown,/Hotel_Review-g60827-d1657771-Reviews-La_Quinta_Inn_Suites_Brooklyn_Downtown-Brooklyn_New_York.html,LQNYC328
Super 8 Long Island City LGA Hotel,Super 8 Long Island City Lga H,/Hotel_Review-g48080-d248683-Reviews-Super_8_Long_Island_City_LGA_Hotel-Long_Island_City_Queens_New_York.html,OZLGA886
Days Inn Brooklyn,Days Inn Brooklyn,/Hotel_Review-g60827-d295340-Reviews-Days_Inn_Brooklyn-Brooklyn_New_York.html,DINYC759
Asiatic Hotel - Flushing,Asiatic Hotel Laguardia East,/Hotel_Review-g47729-d3411847-Reviews-Asiatic_Hotel_Flushing-Flushing_Queens_New_York.html,YXLGAAHL
Wythe Hotel,Wythe Hotel,/Hotel_Review-g60827-d2556148-Reviews-Wythe_Hotel-Brooklyn_New_York.html,WVNYCWYT
Best Western Queens Gold Coast,Best Western Queens Gold Coast,/Hotel_Review-g47289-d99254-Reviews-Best_Western_Queens_Gold_Coast-Bayside_Queens_New_York.html,BWNYC157
Comfort Inn LaGuardia Airport - 83rd St,Comfort Inn Laguardia Airport - 83rd St,/Hotel_Review-g47626-d1485917-Reviews-Comfort_Inn_LaGuardia_Airport_83rd_St-East_Elmhurst_Queens_New_York.html,CILGA392
Best Western Plus Brooklyn Bay Hotel,Best Western Plus Brooklyn Bay,/Hotel_Review-g60827-d636123-Reviews-Best_Western_Plus_Brooklyn_Bay_Hotel-Brooklyn_New_York.html,BWLGA131
Courtyard by Marriott New York JFK Airport,Courtyard Jfk Airport Marriott,/Hotel_Review-g47962-d224106-Reviews-Courtyard_by_Marriott_New_York_JFK_Airport-Jamaica_Queens_New_York.html,CYJFKJFC
Holiday Inn Express - Bronx NYC - Stadium Area,Holiday Inn Exp Bronx Stadium,/Hotel_Review-g47369-d12548946-Reviews-Holiday_Inn_Express_Bronx_NYC_Stadium_Area-Bronx_New_York.html,HINYCEDE
Brooklyn Motor Inn,Brooklyn Motor Inn,/Hotel_Review-g60827-d548322-Reviews-Brooklyn_Motor_Inn-Brooklyn_New_York.html,YXJFKBMI
Days Inn Jamaica - Jfk Airport,Days Inn Jamaica - Jfk Airport,/Hotel_Review-g47962-d574186-Reviews-Days_Inn_Jamaica_Jfk_Airport-Jamaica_Queens_New_York.html,DIJFK787
Radisson Hotel JFK Airport,Radisson Hotel Jfk Airport,/Hotel_Review-g47962-d225472-Reviews-Radisson_Hotel_JFK_Airport-Jamaica_Queens_New_York.html,RDNYC879
Ramada Flushing Queens,Ramada Flushing Queens,/Hotel_Review-g47729-d6563501-Reviews-Ramada_Flushing_Queens-Flushing_Queens_New_York.html,RALGA854
Hampton Inn Brooklyn/Downtown,Hampton Inn Brooklyn Downtown Ny,/Hotel_Review-g60827-d6542529-Reviews-Hampton_Inn_Brooklyn_Downtown-Brooklyn_New_York.html,HXNYC903
Hotel Le Bleu,Hotel Le Bleu,/Hotel_Review-g60827-d650459-Reviews-Hotel_Le_Bleu-Brooklyn_New_York.html,WVNYCBLE
BEST WESTERN Gregory Hotel,Best Western Gregory Hotel,/Hotel_Review-g60827-d99467-Reviews-BEST_WESTERN_Gregory_Hotel-Brooklyn_New_York.html,BWJFK124
Best Western Plaza Hotel,Best Western Plaza Hotel,/Hotel_Review-g48080-d1500326-Reviews-Best_Western_Plaza_Hotel-Long_Island_City_Queens_New_York.html,BWNYC143
The Williamsburg Hotel,The Williamsburg Hotel,/Hotel_Review-g60827-d10728525-Reviews-The_Williamsburg_Hotel-Brooklyn_New_York.html,YXNYCTWH
Hilton Garden Inn Queens / JFK Airport,Hilton Garden Inn Queens Jfk Ar,/Hotel_Review-g47962-d501354-Reviews-Hilton_Garden_Inn_Queens_JFK_Airport-Jamaica_Queens_New_York.html,GIJFK321
Wyndham Garden Fresh Meadows Flushing,Wyndham Garden Fresh Meadows F,/Hotel_Review-g616325-d12165292-Reviews-Wyndham_Garden_Fresh_Meadows_Flushing-Queens_New_York.html,WYLGA998
Aloft New York LaGuardia Airport,Aloft New York Laguardia,/Hotel_Review-g47626-d12246206-Reviews-Aloft_New_York_LaGuardia_Airport-East_Elmhurst_Queens_New_York.html,ALLGA121
Wyndham Garden Laguardia South,Wyndham Garden Laguardia South,/Hotel_Review-g48477-d10333880-Reviews-Wyndham_Garden_Laguardia_South-Rego_Park_Queens_New_York.html,WYLGA087
Holiday Inn Express Brooklyn,Holiday Inn Express Brooklyn,/Hotel_Review-g60827-d622721-Reviews-Holiday_Inn_Express_Brooklyn-Brooklyn_New_York.html,HIJFK47B
