amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
Crowne Plaza Jfk Airport Nyc,Crowne Plaza JFK Airport New York City,CPNYC58E,/Hotel_Review-g47962-d4786615-Reviews-Crowne_Plaza_JFK_Airport_New_York_City-Jamaica_Queens_New_York.html,138-10 135th Avenue,"13810 135th Ave, Jamaica, NY 11436-2102",40.66776,-73.79924
Bw Queens Court Hotel,Best Western Queens Court Hotel,BWNYC111,/Hotel_Review-g47729-d249780-Reviews-Best_Western_Queens_Court_Hotel-Flushing_Queens_New_York.html,133-51 39th Avenue,"13351 39th Ave, Flushing, NY 11354-4432",40.75938,-73.83344
The Ritz-carlton Westchester,"The Ritz-Carlton New York, Westchester",RZNYCRWZ,/Hotel_Review-g48883-d910070-Reviews-The_Ritz_Carlton_New_York_Westchester-White_Plains_New_York.html,3 Renaissance Square,"3 Renaissance Square, White Plains, NY 10601-3001",41.03288,-73.76729
1 Hotel Brooklyn Bridge,1 Hotel Brooklyn Bridge,BINYCHBB,/Hotel_Review-g60827-d10421761-Reviews-1_Hotel_Brooklyn_Bridge-Brooklyn_New_York.html,60 Furman Street,"60 Furman St, Brooklyn, NY 11201-1325",40.70224,-73.99554
Hltn Grdn Inn Long Island City,Hilton Garden Inn Long Island City Queensboro Bridge,GIISP963,/Hotel_Review-g48080-d7202189-Reviews-Hilton_Garden_Inn_Long_Island_City_Queensboro_Bridge-Long_Island_City_Queens_New_York.html,29 21 41st Avenue,"29-21 41st Avenue, Long Island City, NY 11101",40.75027,-73.93688
Comfort Inn Long Island City,Comfort Inn,CILGA265,/Hotel_Review-g48080-d281640-Reviews-Comfort_Inn-Long_Island_City_Queens_New_York.html,42-24 Crescent St.,"4224 Crescent St, Long Island City, NY 11101-4217",40.7494,-73.94167
La Quinta Inn Ste Brooklyn Central,La Quinta Inn & Suites Brooklyn Central,LQNYC570,/Hotel_Review-g60827-d12064061-Reviews-La_Quinta_Inn_Suites_Brooklyn_Central-Brooklyn_New_York.html,1229 Atlantic Avenue,"1229 Atlantic Ave., Brooklyn, NY 11216",40.67861,-73.95014
Days Inn Brooklyn Crown Height,Days inn Brooklyn Crown Heights,DIJFK196,/Hotel_Review-g60827-d12280686-Reviews-Days_inn_Brooklyn_Crown_Heights-Brooklyn_New_York.html,1691 East New York Ave,"1691 East New York Ave, Brooklyn, NY 11212",40.6747,-73.90581
Aloft Long Island City,Aloft Long Island City - Manhattan View,ALNYC940,/Hotel_Review-g48080-d11642010-Reviews-Aloft_Long_Island_City_Manhattan_View-Long_Island_City_Queens_New_York.html,27-45 Jackson Avenue,"2745 Jackson Ave, Long Island City, NY 11101-2917",40.7485,-73.93989
Hampton Inn Carlstadt At The,Hampton Inn Carlstadt-At The Meadowlands,HXEWRGH3,/Hotel_Review-g46344-d98355-Reviews-Hampton_Inn_Carlstadt_At_The_Meadowlands-Carlstadt_New_Jersey.html,304 Paterson Plank Rd,"304 Paterson Plank Rd, Carlstadt, NJ 07072-2309",40.82459,-74.07419
Hotel De Point,Hotel de Point,SCNYC565,/Hotel_Review-g47729-d2725750-Reviews-Hotel_de_Point-Flushing_Queens_New_York.html,20 07 127th Street,"2007 127th St, Flushing, NY 11356-2321",40.76357,-73.83004
Howard Johnson Long Island Cit,Howard Johnson Long Island City,HJLGA294,/Hotel_Review-g48080-d7106532-Reviews-Howard_Johnson_Long_Island_City-Long_Island_City_Queens_New_York.html,38-61 12th Street,"3861 12th St, Long Island City, NY 11101-6115",40.75685,-73.94198
Hilton Garden Inn Lakewood,Hilton Garden Inn Lakewood,GIEWR732,/Hotel_Review-g46550-d1147051-Reviews-Hilton_Garden_Inn_Lakewood-Lakewood_New_Jersey.html,1885 Route 70,"1885 Highway 70, Lakewood, NJ 08701-7394",40.05561,-74.16099
Best Western Premier Nyc Gtwy,Best Western Premier NYC Gateway Hotel,BWEWR068,/Hotel_Review-g46679-d12012479-Reviews-Best_Western_Premier_NYC_Gateway_Hotel-North_Bergen_New_Jersey.html,2650 Paterson Plank Road,"2650 Paterson Plank Road, North Bergen, NJ 7047",40.77352,-74.04004
Marriott At Brooklyn Bridge,New York Marriott at the Brooklyn Bridge,MCLGABKM,/Hotel_Review-g60827-d99466-Reviews-New_York_Marriott_at_the_Brooklyn_Bridge-Brooklyn_New_York.html,333 Adams Street,"333 Adams St, Brooklyn, NY 10036-1520",40.69384,-73.98916
Laguardia Airport Marriott,New York LaGuardia Airport Marriott,MCLGAAPM,/Hotel_Review-g47626-d93649-Reviews-New_York_LaGuardia_Airport_Marriott-East_Elmhurst_Queens_New_York.html,102-05 Ditmars Blvd,"10205 Ditmars Blvd, East Elmhurst, NY 11369-1327",40.76901,-73.86847
The Boro Hotel,Boro Hotel,WVLGA177,/Hotel_Review-g48080-d7792565-Reviews-Boro_Hotel-Long_Island_City_Queens_New_York.html,38-28 27th  Street,"3828 27th St, 39th Avenue & 38th Avenue, Long Island City, NY 11101-2702",40.75507,-73.93541
Hampton Stes Yonkers,Hampton Inn & Suites Yonkers,HXNYC160,/Hotel_Review-g48922-d1438838-Reviews-Hampton_Inn_Suites_Yonkers-Yonkers_New_York.html,160 Corporate Blvd,"160 Corporate Dr, Yonkers, NY 10701-6813",40.97164,-73.8785
Residence Inn Bronx Marriott,Residence Inn By Marriott New York The Bronx at Metro Center Atrium,RCNYCBXR,/Hotel_Review-g47369-d7356250-Reviews-Residence_Inn_By_Marriott_New_York_The_Bronx_at_Metro_Center_Atrium-Bronx_New_York.html,1776 Eastchester Road,"1776 Eastchester Road, Bronx, NY 10461",40.84944,-73.84269
Holiday Inn Jfk Airport Area,Holiday Inn New York JFK Airport Area,HINYCEED,/Hotel_Review-g47962-d4556188-Reviews-Holiday_Inn_New_York_JFK_Airport_Area-Jamaica_Queens_New_York.html,154-71 Brookville Boulevard Rosedal,"154-71 Brookville Boulevard Rosedale, Jamaica, NY 11422",40.7211,-73.81777
Paper Factory Hotel,The Paper Factory Hotel,WVLGA097,/Hotel_Review-g48080-d5523553-Reviews-The_Paper_Factory_Hotel-Long_Island_City_Queens_New_York.html,37 06 36th Street,"3706 36th St, Long Island City, NY 11101-1604",40.76236,-73.92444
Hampton Inn Ste Staten Island,Hampton Inn & Suites Staten Island,HXEWR112,/Hotel_Review-g48682-d674311-Reviews-Hampton_Inn_Suites_Staten_Island-Staten_Island_New_York.html,1120 South Avenue,"1120 South Ave, Staten Island, NY 10314-3410",40.61305,-74.17509
Best Western Viana Hotel & Spa,"Viana Hotel & Spa, BW Premier Collection",BWNYC173,/Hotel_Review-g48864-d1732477-Reviews-Viana_Hotel_Spa_BW_Premier_Collection-Westbury_Long_Island_New_York.html,3998 Brush Hollow Rd,"3998 Brush Hollow Road, Westbury, NY 11590",40.77607,-73.55988
Hyatt Regency Jersey City On The Hudson,Hyatt Regency Jersey City,HYEWRHJC,/Hotel_Review-g46531-d246778-Reviews-Hyatt_Regency_Jersey_City-Jersey_City_New_Jersey.html,Two Exchange Pl,"2 Exchange Pl, Jersey City, NJ 07302-3901",40.71708,-74.03247
Holiday Inn Express Maspeth,Holiday Inn Express Queens - Maspeth,HIJFK816,/Hotel_Review-g48127-d675089-Reviews-Holiday_Inn_Express_Queens_Maspeth-Maspeth_Queens_New_York.html,59-40 55th Road,"5940 55th Rd, Maspeth, NY 11378",40.72659,-73.90645
Best Western Plus Laguardia Airport,Best Western Plus La Guardia Airport Hotel Queens,BWNYC160,/Hotel_Review-g47542-d8449731-Reviews-Best_Western_Plus_La_Guardia_Airport_Hotel_Queens-Corona_Queens_New_York.html,112-26 Roosevelt Ave,"112-26 Roosevelt Avenue, Corona, NY 11368-2624",40.7521,-73.85393
Galaxy Motel,Galaxy Motel,YXNYC020,/Hotel_Review-g60827-d548331-Reviews-Galaxy_Motel-Brooklyn_New_York.html,860 Pennsylvania Ave,"860 Pennsylvania Ave, Brooklyn, NY 11207-8422",40.65665,-73.88932
Even Hotel Brooklyn,EVEN Hotel Brooklyn,VNNYCF62,/Hotel_Review-g60827-d10134568-Reviews-EVEN_Hotel_Brooklyn-Brooklyn_New_York.html,46 Nevins St,"46 Nevins St, Brooklyn, NY 11217-1020",40.68745,-73.98179
Holiday Inn Exp Staten Islnd W,Holiday Inn Express Staten Island West,HINYCC4E,/Hotel_Review-g48682-d1212524-Reviews-Holiday_Inn_Express_Staten_Island_West-Staten_Island_New_York.html,300 Wild Avenue,"300 Wild Ave, Staten Island, NY 10314-4710",40.58756,-74.19089
Sleep Inn Jfk Airport Rockaway Blvd,Sleep Inn JFK Airport Rockaway Blvd,SZJFK394,/Hotel_Review-g47962-d3225269-Reviews-Sleep_Inn_JFK_Airport_Rockaway_Blvd-Jamaica_Queens_New_York.html,153-75 Rockaway Blvd,"15375 Rockaway Blvd, Jamaica, NY 11434-3635",40.66881,-73.78179
Hampton Inn South Plainfield,Hampton Inn South Plainfield-Piscataway,HXEWR205,/Hotel_Review-g46835-d606714-Reviews-Hampton_Inn_South_Plainfield_Piscataway-South_Plainfield_New_Jersey.html,205 New World Way,"205 New World Way, South Plainfield, NJ 07080-1141",40.55618,-74.43223
Extended Stay America Lga Air,Extended Stay America - New York City - Laguardia Airport,EALGA651,/Hotel_Review-g48887-d277897-Reviews-Extended_Stay_America_New_York_City_Laguardia_Airport-Whitestone_Queens_New_York.html,18 30 Whitestone Expressway,"1830 Whitestone Expy, Whitestone, NY 11357-3061",40.7856,-73.8113
Fairfield Inn Ny Jfk Marriott,Fairfield Inn New York JFK Airport,FNJFKJJF,/Hotel_Review-g47962-d238137-Reviews-Fairfield_Inn_New_York_JFK_Airport-Jamaica_Queens_New_York.html,156-08 Rockaway Blvd,"15608 Rockaway Blvd, Jamaica, NY 11434-4844",40.66632,-73.77945
Four Points Long Island City,Four Points by Sheraton Long Island City Queensboro Bridge,SINYC540,/Hotel_Review-g48080-d1879003-Reviews-Four_Points_by_Sheraton_Long_Island_City_Queensboro_Bridge-Long_Island_City_Queens_New_.html,27 05 39th Avenue,"2705 39th Ave, Long Island City, NY 11101-2703",40.75445,-73.93581
Holiday Inn Brooklyn Downtown,Holiday Inn Brooklyn Downtown,HINYCB36,/Hotel_Review-g60827-d7789170-Reviews-Holiday_Inn_Brooklyn_Downtown-Brooklyn_New_York.html,300 Schermerhorn Road,"300 Schermerhorn St, Brooklyn, NY 11217-1005",40.68739,-73.98265
Howard Johnson Express Inn Bro,Howard Johnson Express Inn Bronx,HJLGA826,/Hotel_Review-g47369-d286866-Reviews-Howard_Johnson_Express_Inn_Bronx-Bronx_New_York.html,1922 Boston Road,"1922 Boston Rd, I-95 Exit 4B, Bronx, NY 10460-4423",40.83973,-73.88132
Nu Hotel Brooklyn,NU Hotel,XTNYC335,/Hotel_Review-g60827-d1103707-Reviews-NU_Hotel-Brooklyn_New_York.html,85 Smith St,"85 Smith St, Brooklyn, NY 11201-5907",40.68886,-73.98893
The Parc Hotel,The Parc Hotel,YXNYCTPH,/Hotel_Review-g47729-d5544308-Reviews-The_Parc_Hotel-Flushing_Queens_New_York.html,39 16 College Point Blvd,"3916 College Point Blvd, Flushing, NY 11354-5138",40.76113,-73.83524
Ravel Hotel,Ravel Hotel,YXLGA796,/Hotel_Review-g48080-d1026626-Reviews-Ravel_Hotel-Long_Island_City_Queens_New_York.html,8-08 Queens Plaza South,"808 Queens Plz S, Long Island City, NY 11101-4915",40.754,-73.94925
Hyatt Place Long Island-new York City,Hyatt Place Long Island City / New York City,HYLGAZL2,/Hotel_Review-g48080-d12596548-Reviews-Hyatt_Place_Long_Island_City_New_York_City-Long_Island_City_Queens_New_York.html,2707 43rd Ave,"2707 43rd Ave, Long Island City, NY 11101",40.74817,-73.94127
Cambria Hotel White Plains,Cambria hotel & suites White Plains - Downtown,EZHPN547,/Hotel_Review-g48883-d4757879-Reviews-Cambria_hotel_suites_White_Plains_Downtown-White_Plains_New_York.html,250 Main Street,"250 Main St, White Plains, NY 10601-2445",41.03326,-73.76424
The One Boutique Hotel,The One Boutique Hotel,YXNYCTOB,/Hotel_Review-g47729-d6548502-Reviews-The_One_Boutique_Hotel-Flushing_Queens_New_York.html,137 72 Northern Blvd,"137-72 Northern Blvd, Flushing, NY 11354-4122",40.7635,-73.82844
Hotel Rl By Red Lion Brooklyn,Hotel RL by Red Lion Brooklyn,RLJFK964,/Hotel_Review-g60827-d11726197-Reviews-Hotel_RL_by_Red_Lion_Brooklyn-Brooklyn_New_York.html,1080 Broadway,"1080 Broadway, Brooklyn, NY 11221-3014",40.69437,-73.93107
"Homewood Carle Place - Garden City, Ny",Homewood Suites by Hilton Carle Place - Garden City,HGNYC525,/Hotel_Review-g47413-d4063937-Reviews-Homewood_Suites_by_Hilton_Carle_Place_Garden_City-Carle_Place_Long_Island_New_York.html,40 Westbury Avenue,"40 Westbury Ave, Carle Place, NY 11514-1521",40.74948,-73.61923
Hampton Inn New York-jfk Arpt,Hampton Inn NY - JFK,HXNYC144,/Hotel_Review-g47962-d224601-Reviews-Hampton_Inn_NY_JFK-Jamaica_Queens_New_York.html,144 10 135th Ave,"144-10 135th Ave, Jamaica, NY 11436-2200",40.66746,-73.79487
Best Western Plus Arena Hotel,Best Western Plus Arena Hotel,BWJFK142,/Hotel_Review-g60827-d1762669-Reviews-Best_Western_Plus_Arena_Hotel-Brooklyn_New_York.html,1324 Atlantic Avenue,"1324 Atlantic Avenue, Brooklyn, NY 11216-2811",40.67837,-73.94654
Hotel Le Jolie,Hotel Le Jolie,WVLGAHLJ,/Hotel_Review-g60827-d1007626-Reviews-Hotel_Le_Jolie-Brooklyn_New_York.html,235 Meeker Avenue,"235 Meeker Ave, Brooklyn, NY 11211-1244",40.71631,-73.95086
Quality Inn Long Island City,Quality Inn Long Island City,QILGA400,/Hotel_Review-g48080-d671388-Reviews-Quality_Inn_Long_Island_City-Long_Island_City_Queens_New_York.html,30-03 40th Avenue,"3003 40th Ave, Long Island City, NY 11101-2811",40.75163,-73.93385
Hampton Inn Garden City,Hampton Inn Garden City,HXNYC100,/Hotel_Review-g47770-d623576-Reviews-Hampton_Inn_Garden_City-Garden_City_Long_Island_New_York.html,1 North Ave,"1 North Ave, Garden City, NY 11530-2125",40.74123,-73.60953
"Gowanus Inn And Yard, An Ascend Hotel Co",Gowanus Inn and Yard,NZNYC569,/Hotel_Review-g60827-d12221584-Reviews-Gowanus_Inn_and_Yard-Brooklyn_New_York.html,645-651 Union St.,"645-651 Union St., Brooklyn, NY 11217",40.67784,-73.98345
Ramada Long Island City,Ramada Long Island City,RALGA433,/Hotel_Review-g48080-d1484593-Reviews-Ramada_Long_Island_City-Long_Island_City_Queens_New_York.html,38-30 Crescent Street,"3830 Crescent St, Long Island City, NY 11101-3602",40.75482,-73.93677
Fairfield Inn Li City Marriott,Fairfield Inn New York Long Island City / Manhattan View,FNNYCFQF,/Hotel_Review-g48080-d1027681-Reviews-Fairfield_Inn_New_York_Long_Island_City_Manhattan_View-Long_Island_City_Queens_New_York.html,52-34 Van Dam Street,"52-34 Van Dam Street, Long Island City, NY 11101",40.7368,-73.93564
Ramada Staten Island,Ramada Staten Island,RANYC951,/Hotel_Review-g48682-d1819763-Reviews-Ramada_Staten_Island-Staten_Island_New_York.html,535 N Gannon Ave,"535 N Gannon Ave, Staten Island, NY 10314-4317",40.60828,-74.14617
City View Inn,City View Inn,OKLGA069,/Hotel_Review-g48080-d75617-Reviews-City_View_Inn-Long_Island_City_Queens_New_York.html,3317 Greenpoint Ave,"3317 Greenpoint Ave, Long Island City, NY 11101-2011",40.73617,-73.9342
Sleep Inn Brooklyn,Sleep Inn Brooklyn,SZLGA484,/Hotel_Review-g60827-d1235523-Reviews-Sleep_Inn_Brooklyn-Brooklyn_New_York.html,134 22nd Street,"247 49th St, Brooklyn, NY 11220-1708",40.66302,-73.99766
Best Western Jamaica Inn,Best Western Jamaica Inn,BWJFK141,/Hotel_Review-g47962-d294811-Reviews-Best_Western_Jamaica_Inn-Jamaica_Queens_New_York.html,8707 Van Wyck Expressway,"8707 Van Wyck Expy, Jamaica, NY 11435",40.70483,-73.8169
Hilton Garden Inn Staten Island,Hilton Garden Inn New York/Staten Island,GIEWR198,/Hotel_Review-g48682-d224599-Reviews-Hilton_Garden_Inn_New_York_Staten_Island-Staten_Island_New_York.html,1100 South Avenue,"1100 South Ave, Staten Island, NY 10314-3410",40.61543,-74.17328
Hilton Garden Inn Wayne,Hilton Garden Inn Wayne,GINYC564,/Hotel_Review-g46905-d7736613-Reviews-Hilton_Garden_Inn_Wayne-Wayne_New_Jersey.html,15 Nevins Road,"15 Nevins Rd, Wayne, NJ 07470-2050",40.9643,-74.2292
Mccarren Hotel And Pool,McCarren Hotel & Pool,YXNYCWIL,/Hotel_Review-g60827-d2151848-Reviews-McCarren_Hotel_Pool-Brooklyn_New_York.html,160 North 12th Street,"160 N 12th St, Brooklyn, NY 11249-1127",40.7209,-73.95543
Rodeway Inn Bronx Zoo,Rodeway Inn Bronx Zoo,RYLGA324,/Hotel_Review-g47369-d4447795-Reviews-Rodeway_Inn_Bronx_Zoo-Bronx_New_York.html,3070 72 Webster Avenue,"3070 Webster Ave # 72, Bronx, NY 10467-4918",40.87021,-73.87779
Dbltree By Hilton Jersey City,DoubleTree by Hilton Hotel & Suites Jersey City,DTEWRH70,/Hotel_Review-g46531-d98276-Reviews-DoubleTree_by_Hilton_Hotel_Suites_Jersey_City-Jersey_City_New_Jersey.html,455 Washington Blvd,"455 Washington Blvd, Jersey City, NJ 07310-1972",40.72876,-74.03503
Comfort Inn And Suites Near Stadium,Comfort Inn & Suites near Stadium,CINYC529,/Hotel_Review-g47369-d12441510-Reviews-Comfort_Inn_Suites_near_Stadium-Bronx_New_York.html,2477 Third Ave,"2477 Third Avenue, Bronx, NY 10451",40.80993,-73.92932
Ramada Inn Bronx,Ramada Bronx,RANYC038,/Hotel_Review-g47369-d99257-Reviews-Ramada_Bronx-Bronx_New_York.html,1000 Baychester Avenue,"1000 Baychester Ave, Bronx, NY 10475-4567",40.87975,-73.83186
Quality Inn,Quality Inn,QINYC634,/Hotel_Review-g60827-d7772856-Reviews-Quality_Inn-Brooklyn_New_York.html,4410 3rd Ave,"95 Chester Street, Brooklyn, NY 11212-5642",40.65088,-74.01161
Homewood Suites Mahwah Nj,Homewood Suites by Hilton Mahwah,HGEWR375,/Hotel_Review-g46590-d224606-Reviews-Homewood_Suites_by_Hilton_Mahwah-Mahwah_New_Jersey.html,375 Corporate Dr,"375 Corporate Dr, Mahwah, NJ 07430-2012",41.087,-74.15649
The Look Hotel Red Hook An Ascend Hotel,"The LOOK hotel, Red Hook, an Ascend Hotel Collection Member",NZLGA507,/Hotel_Review-g60827-d2309186-Reviews-The_LOOK_hotel_Red_Hook_an_Ascend_Hotel_Collection_Member-Brooklyn_New_York.html,17 Seabring Street,"17 Seabring Street, Brooklyn, NY 11231-1820",40.68005,-74.00593
Opera House Hotel,Opera House Hotel,YXLGA107,/Hotel_Review-g47369-d4702280-Reviews-Opera_House_Hotel-Bronx_New_York.html,436 East 149th Street,"436 E 149th St, Bronx, NY 10455-1304",40.81535,-73.91596
La Quinta Inn Ste Brooklyn Downtown,La Quinta Inn & Suites Brooklyn Downtown,LQNYC328,/Hotel_Review-g60827-d1657771-Reviews-La_Quinta_Inn_Suites_Brooklyn_Downtown-Brooklyn_New_York.html,531 3rd Avenue,"533 3rd Ave, Brooklyn, NY 11215-4623",40.66904,-73.99303
Super 8 Long Island City Lga H,Super 8 Long Island City LGA Hotel,OZLGA886,/Hotel_Review-g48080-d248683-Reviews-Super_8_Long_Island_City_LGA_Hotel-Long_Island_City_Queens_New_York.html,31-62 14th St,"31-62 14th St, Long Island City, NY 11106-4810",40.76634,-73.93358
Days Inn Brooklyn,Days Inn Brooklyn,DINYC759,/Hotel_Review-g60827-d295340-Reviews-Days_Inn_Brooklyn-Brooklyn_New_York.html,437 39th Street,"437 39th St, Brooklyn, NY 11232-2909",40.65209,-74.00529
Inn At Fox Hollow Hotel,The Inn At Fox Hollow Hotel,YXJFK775,/Hotel_Review-g48908-d246828-Reviews-The_Inn_At_Fox_Hollow_Hotel-Woodbury_Long_Island_New_York.html,7755 Jericho Turnpike,"7755 Jericho Tpke, Woodbury, NY 11797-1710",40.81299,-73.48519
Asiatic Hotel Laguardia East,Asiatic Hotel - Flushing,YXLGAAHL,/Hotel_Review-g47729-d3411847-Reviews-Asiatic_Hotel_Flushing-Flushing_Queens_New_York.html,135 21 37 Avenue,"13521 37th Ave, Flushing, NY 11354-4119",40.76135,-73.83237
Wythe Hotel,Wythe Hotel,WVNYCWYT,/Hotel_Review-g60827-d2556148-Reviews-Wythe_Hotel-Brooklyn_New_York.html,80 Wythe Avenue,"80 Wythe Ave, Brooklyn, NY 11249-1026",40.72189,-73.9581
Best Western Queens Gold Coast,Best Western Queens Gold Coast,BWNYC157,/Hotel_Review-g47289-d99254-Reviews-Best_Western_Queens_Gold_Coast-Bayside_Queens_New_York.html,220-33 Northern Blvd,"22033 Northern Blvd, Bayside, NY 11361-3642",40.76167,-73.76069
Comfort Inn Laguardia Airport - 83rd St,Comfort Inn LaGuardia Airport - 83rd St,CILGA392,/Hotel_Review-g47626-d1485917-Reviews-Comfort_Inn_LaGuardia_Airport_83rd_St-East_Elmhurst_Queens_New_York.html,23 45 83rd Street,"2345 83rd St, East Elmhurst, NY 11370",40.76581,-73.88615
Best Western Plus Brooklyn Bay,Best Western Plus Brooklyn Bay Hotel,BWLGA131,/Hotel_Review-g60827-d636123-Reviews-Best_Western_Plus_Brooklyn_Bay_Hotel-Brooklyn_New_York.html,3003 Emmons Avenue,"3003 Emmons Avenue, Sheepshead Bay, Brooklyn, NY 11235",40.584,-73.93862
Courtyard Jfk Airport Marriott,Courtyard by Marriott New York JFK Airport,CYJFKJFC,/Hotel_Review-g47962-d224106-Reviews-Courtyard_by_Marriott_New_York_JFK_Airport-Jamaica_Queens_New_York.html,145-11 N Conduit Ave,"14511 N Conduit Ave, Jamaica, NY 11436-2236",40.66706,-73.79304
Holiday Inn Exp Bronx Stadium,Holiday Inn Express - Bronx NYC - Stadium Area,HINYCEDE,/Hotel_Review-g47369-d12548946-Reviews-Holiday_Inn_Express_Bronx_NYC_Stadium_Area-Bronx_New_York.html,500 Exterior Street,"500 Exterior Street, Bronx, NY 10451",40.81814,-73.9304
Hyatt Place Yonkers,Hyatt Place New York/Yonkers,HYNYCYON,/Hotel_Review-g48922-d7771212-Reviews-Hyatt_Place_New_York_Yonkers-Yonkers_New_York.html,7000 Mall Walk,"7000 Mall Walk, Yonkers, NY 10704-1221",40.92781,-73.8533
Brooklyn Motor Inn,Brooklyn Motor Inn,YXJFKBMI,/Hotel_Review-g60827-d548322-Reviews-Brooklyn_Motor_Inn-Brooklyn_New_York.html,140 Hamilton Ave,"140 Hamilton Ave, Brooklyn, NY 11231-1314",40.68178,-74.00648
Days Inn Jamaica - Jfk Airport,Days Inn Jamaica - Jfk Airport,DIJFK787,/Hotel_Review-g47962-d574186-Reviews-Days_Inn_Jamaica_Jfk_Airport-Jamaica_Queens_New_York.html,144-26 153rd Court,"14426 153rd Ct, Jamaica, NY 11434-4202",40.66538,-73.78395
The Madison Hotel,The Madison Hotel,WVEWR900,/Hotel_Review-g60906-d92451-Reviews-The_Madison_Hotel-Morristown_Morris_County_New_Jersey.html,1 Convent Road And Route 124,"1 Convent Rd, Morristown, NJ 07960-6922",40.77793,-74.44504
Radisson Hotel Jfk Airport,Radisson Hotel JFK Airport,RDNYC879,/Hotel_Review-g47962-d225472-Reviews-Radisson_Hotel_JFK_Airport-Jamaica_Queens_New_York.html,135-30 140th Street,"13530 140th St, Jamaica, NY 11436-2137",40.66744,-73.7981
Ramada Flushing Queens,Ramada Flushing Queens,RALGA854,/Hotel_Review-g47729-d6563501-Reviews-Ramada_Flushing_Queens-Flushing_Queens_New_York.html,3627 Prince Street,"3627 Prince St, Flushing, NY 11354-4008",40.76156,-73.83257
Hampton Inn Brooklyn Downtown Ny,Hampton Inn Brooklyn/Downtown,HXNYC903,/Hotel_Review-g60827-d6542529-Reviews-Hampton_Inn_Brooklyn_Downtown-Brooklyn_New_York.html,125 Flatbush Extension,"125 Flatbush Avenue Ext, Brooklyn, NY 11201-2901",40.69568,-73.98396
Hotel Le Bleu,Hotel Le Bleu,WVNYCBLE,/Hotel_Review-g60827-d650459-Reviews-Hotel_Le_Bleu-Brooklyn_New_York.html,370 4th Ave,"370 4th Avenue, Brooklyn, NY 11215-2718",40.67322,-73.98699
Best Western Gregory Hotel,BEST WESTERN Gregory Hotel,BWJFK124,/Hotel_Review-g60827-d99467-Reviews-BEST_WESTERN_Gregory_Hotel-Brooklyn_New_York.html,8315 4th Avenue,"8315 4th Ave, Brooklyn, NY 11209",40.62484,-74.02764
Best Western Plaza Hotel,Best Western Plaza Hotel,BWNYC143,/Hotel_Review-g48080-d1500326-Reviews-Best_Western_Plaza_Hotel-Long_Island_City_Queens_New_York.html,3934 21st Street,"3934 21st Street, Long Island City, NY 11101",40.75607,-73.94047
The Williamsburg Hotel,The Williamsburg Hotel,YXNYCTWH,/Hotel_Review-g60827-d10728525-Reviews-The_Williamsburg_Hotel-Brooklyn_New_York.html,96 Wythe Avenue,"96 Wythe Ave, Brooklyn, NY 11249-1923",40.72161,-73.95883
Hilton Garden Inn Queens Jfk Ar,Hilton Garden Inn Queens / JFK Airport,GIJFK321,/Hotel_Review-g47962-d501354-Reviews-Hilton_Garden_Inn_Queens_JFK_Airport-Jamaica_Queens_New_York.html,148-18 134th Street,"14818 134th St, Jamaica, NY 11430-1507",40.66529,-73.80603
Wyndham Garden Fresh Meadows F,Wyndham Garden Fresh Meadows Flushing,WYLGA998,/Hotel_Review-g616325-d12165292-Reviews-Wyndham_Garden_Fresh_Meadows_Flushing-Queens_New_York.html,6127 186th Street,"6127 186th Street, NY 11365",40.7479,-73.79207
Homewood Stes East Rutherford,Homewood Suites by Hilton East Rutherford-Meadowlands,HGEWR125,/Hotel_Review-g46404-d1218811-Reviews-Homewood_Suites_by_Hilton_East_Rutherford_Meadowlands-East_Rutherford_New_Jersey.html,125 Route 17 South,"125 Route 17 South, East Rutherford, NJ 07073",40.82942,-74.09224
Aloft New York Laguardia,Aloft New York LaGuardia Airport,ALLGA121,/Hotel_Review-g47626-d12246206-Reviews-Aloft_New_York_LaGuardia_Airport-East_Elmhurst_Queens_New_York.html,100-15 Ditmars Blvd,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369",40.77,-73.87009
Wyndham Garden Laguardia South,Wyndham Garden Laguardia South,WYLGA087,/Hotel_Review-g48477-d10333880-Reviews-Wyndham_Garden_Laguardia_South-Rego_Park_Queens_New_York.html,92-77 Queens Blvd,"61-18 93rd Street, Rego Park, NY 11374",40.73198,-73.86649
Holiday Inn Express Brooklyn,Holiday Inn Express Brooklyn,HIJFK47B,/Hotel_Review-g60827-d622721-Reviews-Holiday_Inn_Express_Brooklyn-Brooklyn_New_York.html,625 Union Street,"625 Union St, Brooklyn, NY 11215-1033",40.67776,-73.98396
Teaneck Marriott At Glenpointe,Teaneck Marriott at Glenpointe,MCEWRGPM,/Hotel_Review-g46862-d92633-Reviews-Teaneck_Marriott_at_Glenpointe-Teaneck_New_Jersey.html,100 Frank West Burr Boulevard,"100 Frank W Burr Blvd, Teaneck, NJ 07666-6702",40.89199,-74.01464
