Da Vinci Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"244 W 56th St, New York City, NY 10019-4306",40.7656207,-73.9830134024271,,573,3.5,,103-311,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Air Conditioning']",373,3.0 Star Hotel,/Hotel_Review-g60763-d99365-Reviews-Da_Vinci_Hotel-New_York_City_New_York.html
The Blakely New York,2017-11-01,12/9/2017,12/10/2017,2,1,"136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",,,Orbitz.com,"1,449",4.5,440,218-506,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Microwave', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",129,4.5 Star Hotel,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html
Hotel Deauville,2017-11-01,12/9/2017,12/10/2017,2,1,"103 East 29th Street, New York City, NY 10016",40.7438963,-73.9830239,Hotwire.com,,4,,135-175,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",351,2.0 Star Hotel,/Hotel_Review-g60763-d93364-Reviews-Hotel_Deauville-New_York_City_New_York.html
"Marriott Vacation Club Pulse, New York City",2017-11-01,12/9/2017,12/10/2017,2,1,"33 West 37th Street, New York City, NY 10018-6201",40.75126905,-73.9848202179554,Hotels.com,"2,339",4.5,,167-553,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",173,4.0 Star Hotel,/Hotel_Review-g60763-d1186070-Reviews-Marriott_Vacation_Club_Pulse_New_York_City-New_York_City_New_York.html
36 Hudson Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"449 W 36th St, 36th Street between 9th & 10th Avenues, New York City, NY 10018-6303",,,Hotels.com,,4,,128-349,"['Free High Speed Internet ( WiFi )', 'Multilingual Staff', 'Airport Transportation', 'Air Conditioning']",362,3.0 Star Hotel,/Hotel_Review-g60763-d1217376-Reviews-36_Hudson_Hotel-New_York_City_New_York.html
Chelsea Inn - 11th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"184 11th Avenue, at 23rd Street, New York City, NY 10011",,,,18,2,,,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",442,,/Hotel_Review-g60763-d540545-Reviews-Chelsea_Inn_11th_Avenue-New_York_City_New_York.html
Mayfair Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"242 W 49th St, New York City, NY 10019-7405",40.7611635,-73.9859805284333,Hotels.com,,3.5,,112-286,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Restaurant', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",368,3.0 Star Hotel,/Hotel_Review-g60763-d99357-Reviews-Mayfair_Hotel-New_York_City_New_York.html
Hampton Inn Manhattan-Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"108 West 24th Street, New York City, NY 10011-1902",40.74363625,-73.9930940621501,Hampton.com,"1,920",4.5,446,169-485,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Fitness Center with Gym / Workout Room']",162,3.0 Star Hotel,/Hotel_Review-g60763-d268216-Reviews-Hampton_Inn_Manhattan_Chelsea-New_York_City_New_York.html
Bristol Plaza,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 65th St, New York City, NY 10065-6697",,,,9,5,,,"['Fitness Center with Gym / Workout Room', 'Pool', 'Free High Speed Internet ( WiFi )', 'Spa', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa']",390,,/Hotel_Review-g60763-d93418-Reviews-Bristol_Plaza-New_York_City_New_York.html
Lotte New York Palace,2017-11-01,12/9/2017,12/10/2017,2,1,"455 Madison Avenue, New York City, NY 10022-6845",40.75798035,-73.9747690045104,,"3,516",4.5,,277-1089,"['Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Business Center with Internet Access', 'Room Service', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",80,4.5 Star Hotel,/Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html
Hotel Cliff,2017-11-01,12/9/2017,12/10/2017,2,1,"505 W 181st St, New York City, NY 10033-5102",40.8496786,-73.9345819,,9,2.5,,166-412,"['Free Parking', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Free Parking', 'Room Service', 'Airport Transportation', 'Air Conditioning']",441,2.5 Star Hotel,/Hotel_Review-g60763-d8530894-Reviews-Hotel_Cliff-New_York_City_New_York.html
Gansevoort Park Avenue NYC,2017-11-01,12/9/2017,12/10/2017,2,1,"420 Park Avenue South, New York City, NY 10016-8403",40.7438908,-73.9838903,Priceline,"2,347",4.5,488,306-693,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Spa', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Outdoor pool']",85,4.5 Star Hotel,/Hotel_Review-g60763-d1456411-Reviews-Gansevoort_Park_Avenue_NYC-New_York_City_New_York.html
Sago Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"120 Allen St, New York City, NY 10002-3004",40.7204854,-73.9898814,Expedia.com,84,4.5,360,333-516,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge']",331,4.0 Star Hotel,/Hotel_Review-g60763-d9608281-Reviews-Sago_Hotel-New_York_City_New_York.html
Fairfield Inn & Suites New York Manhattan/Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"116 West 28th Street, New York City, NY 10001",40.74617805,-73.9914478340479,Fairfield Inn,837,4.5,360,171-519,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Business Center with Internet Access', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",207,3.0 Star Hotel,/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York.html
Oxbridge Midtown East Apartments,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 47th St, New York City, NY 10017-2108",40.75351215,-73.9716573697007,,,3.5,,,"['Free Internet', 'Laundry Service', 'Concierge', 'Refrigerator in room']",427,,/Hotel_Review-g60763-d1199530-Reviews-Oxbridge_Midtown_East_Apartments-New_York_City_New_York.html
New York Marriott East Side,2017-11-01,12/9/2017,12/10/2017,2,1,"525 Lexington Avenue at 49th Street, New York City, NY 10017",,,Booking.com,"2,223",4,413,197-635,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Room Service', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",283,4.0 Star Hotel,/Hotel_Review-g60763-d93475-Reviews-New_York_Marriott_East_Side-New_York_City_New_York.html
The Westin New York Grand Central,2017-11-01,12/9/2017,12/10/2017,2,1,"212 East 42nd Street, Between 2nd Ave and 3rd Ave, New York City, NY 10017-5803",,,AMOMA,"3,487",4,369,201-618,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",221,4.5 Star Hotel,/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html
"The Lexington New York City, Autograph Collection",2017-11-01,12/9/2017,12/10/2017,2,1,"511 Lexington Avenue, at 48th Street, New York City, NY 10017",,,Expedia.com,"3,421",4,429,180-532,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",279,4.0 Star Hotel,/Hotel_Review-g60763-d93526-Reviews-The_Lexington_New_York_City_Autograph_Collection-New_York_City_New_York.html
Seafarers & International House,2017-11-01,12/9/2017,12/10/2017,2,1,"123 E 15th St, New York City, NY 10003-3594",40.7346341,-73.9879773,,,4,,93-169,"['Free Internet', 'Air Conditioning']",365,2.0 Star Hotel,/Hotel_Review-g60763-d609602-Reviews-Seafarers_International_House-New_York_City_New_York.html
Hotel Shocard at Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"206 West 41th Street, New York City, NY 10036-7203",,,Expedia.com,235,4,424,156-459,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Bar/Lounge']",284,3.0 Star Hotel,/Hotel_Review-g60763-d254605-Reviews-Hotel_Shocard_at_Times_Square-New_York_City_New_York.html
The MAve Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"62 Madison Ave, At 27th Street, New York City, NY 10016-8704",,,Cancelon,956,4,548,379-702,"['Free Internet', 'Air Conditioning']",386,3.0 Star Hotel,/Hotel_Review-g60763-d1477775-Reviews-The_MAve_Hotel-New_York_City_New_York.html
Park Lane Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"36 Central Park South, 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600",,,Expedia.com,"6,538",4,599,191-598,"['Restaurant', 'Room Service', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Dry Cleaning', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",257,4.0 Star Hotel,/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html
Inter-Continental Central Park South New York,2017-11-01,12/9/2017,12/10/2017,2,1,"112 Central Park S, New York City, NY 10019-1503",40.7646364,-73.9737661,,,5,,,"['#230', ' Luxury Hotel in New York City ', '310 ', 'TripAdvisor is proud to partner with TripOnline SA so you can book your Inter-Continental Central Park South New York reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers. ', 'United States >', 'New York >', 'New York City >', 'Midtown / Manhattan ', 'Inter-Continental Central Park South New York Hotel New York City ']",416,,/Hotel_Review-g60763-d1161789-Reviews-Inter_Continental_Central_Park_South_New_York-New_York_City_New_York.html
Candlewood Suites New York City Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"339 W. 39th Street, New York City, NY 10018-1401",40.7563047,-73.99297185,AMOMA,"1,879",4,374,145-438,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",237,3.0 Star Hotel,/Hotel_Review-g60763-d1025779-Reviews-Candlewood_Suites_New_York_City_Times_Square-New_York_City_New_York.html
InterContinental New York Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"300 W 44th Street, New York City, NY 10036-5419",,,AMOMA,"5,389",4.5,709,232-706,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",179,4.5 Star Hotel,/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html
Renaissance New York Times Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"Two Times Square, 714 Seventh Avenue at W. 48th Street, New York City, NY 10036-7301",,,Hotwire.com,"2,417",4.5,613,259-745,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",186,4.0 Star Hotel,/Hotel_Review-g60763-d93534-Reviews-Renaissance_New_York_Times_Square_Hotel-New_York_City_New_York.html
Downtown Athletic Center,2017-11-01,12/9/2017,12/10/2017,2,1,"19 West Street, New York City, NY 10001",40.6338928,-74.1182019462858,,3,4.5,,,"['129 ', 'United States >', 'New York >', 'New York City >', 'Financial District / Manhattan ']",415,,/Hotel_Review-g60763-d121985-Reviews-Downtown_Athletic_Center-New_York_City_New_York.html
Hotel Olcott,2017-11-01,12/9/2017,12/10/2017,2,1,"27 W 72nd St, New York City, NY 10023-3498",40.77725255,-73.9773738524863,,3,4,,,"['Room Service', 'Room Service', 'Air Conditioning', 'Refrigerator in room']",412,,/Hotel_Review-g60763-d1175436-Reviews-Hotel_Olcott-New_York_City_New_York.html
The Helmsley Windsor,2017-11-01,12/9/2017,12/10/2017,2,1,"100 West 58th Street, New York City, NY 10019",40.7650501,-73.9770723,,16,4.5,,,"['Room Service', 'Room Service', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room']",414,3.0 Star Hotel,/Hotel_Review-g60763-d1161809-Reviews-The_Helmsley_Windsor-New_York_City_New_York.html
Phillips Club,2017-11-01,12/9/2017,12/10/2017,2,1,"155 W 66th St, New York City, NY 10023-6501",40.7742504,-73.9828901,,91,4.5,,420-525,"['Room Service', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa', 'Room Service', 'Laundry Service', 'Concierge', 'Self-Serve Laundry', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Business Center with Internet Access', 'Babysitting', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa']",337,,/Hotel_Review-g60763-d122004-Reviews-Phillips_Club-New_York_City_New_York.html
Hilton New York Fashion District,2017-11-01,12/9/2017,12/10/2017,2,1,"152 West 26th Street, New York City, NY 10001-6975",40.745629,-73.9937463,Hilton.com,"3,475",4,379,169-501,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free Internet', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",185,4.0 Star Hotel,/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York.html
The Mansfield,2017-11-01,12/9/2017,12/10/2017,2,1,"12 W 44th St, Off of Fifth Avenue, New York City, NY 10036-6604",,,Expedia.com,"1,847",3.5,373,140-431,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",344,3.5 Star Hotel,/Hotel_Review-g60763-d93586-Reviews-The_Mansfield-New_York_City_New_York.html
Residence Inn New York Manhattan/Central Park,2017-11-01,12/9/2017,12/10/2017,2,1,"1717 Broadway, New York City, NY 10019",40.7643995,-73.9827379712101,Orbitz.com,"1,290",4.5,557,216-626,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",118,3.5 Star Hotel,/Hotel_Review-g60763-d6023925-Reviews-Residence_Inn_New_York_Manhattan_Central_Park-New_York_City_New_York.html
Hilton Garden Inn New York/Central Park South-Midtown West,2017-11-01,12/9/2017,12/10/2017,2,1,"237 West 54th Street, New York City, NY 10019-5589",40.764509,-73.9830100113548,GardenInn.com,"2,597",4,549,186-570,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Restaurant', 'Business Center with Internet Access', 'Laundry Service', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant']",215,3.5 Star Hotel,/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html
MADE Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"44 West 29 Street, New York City, NY 10001",,,,,5,,221-576,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge']",282,,/Hotel_Review-g60763-d12675805-Reviews-MADE_Hotel-New_York_City_New_York.html
AKA Central Park,2017-11-01,12/9/2017,12/10/2017,2,1,"42 W 58th St, New York City, NY 10019-2505",40.76432905,-73.9756666061464,,448,4.5,,205-707,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Dry Cleaning', 'Business Center with Internet Access', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",233,4.0 Star Hotel,/Hotel_Review-g60763-d805827-Reviews-AKA_Central_Park-New_York_City_New_York.html
The Bowery Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"335 Bowery, New York City, NY 10003-7138",,,TripAdvisor,643,4.5,575,411-662,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Meeting Rooms', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",148,4.0 Star Hotel,/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html
Gramercy Park Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"2 Lexington Avenue, New York City, NY 10010-5487",40.7730129,-73.9603164,Orbitz.com,"1,463",4.5,679,413-813,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Business Center with Internet Access', 'Banquet Room', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",90,4.0 Star Hotel,/Hotel_Review-g60763-d571166-Reviews-Gramercy_Park_Hotel-New_York_City_New_York.html
Hotel Mimosa,2017-11-01,12/9/2017,12/10/2017,2,1,"79 Division St, New York City, NY 10002-6201",40.7141971,-73.9937931,Agoda.com,,3.5,,110-233,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Room Service', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning']",399,2.5 Star Hotel,/Hotel_Review-g60763-d1448670-Reviews-Hotel_Mimosa-New_York_City_New_York.html
Fairfield Inn & Suites New York Manhattan/Central Park,2017-11-01,12/9/2017,12/10/2017,2,1,"538 W 58th St, New York City, NY 10019",40.7650275,-73.9766802,Expedia.com,171,4,524,179-494,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",247,3.0 Star Hotel,/Hotel_Review-g60763-d10368723-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Central_Park-New_York_City_New_York.html
